有價證券代號及名稱,國際證券辨識號碼(ISIN Code),上市日,市場別,產業別,CFICode,備註,代號,公司名稱
2745　五福,TW0002745007,2018/04/16,上櫃,觀光事業,ESVUFR,,2745,五福
2752　豆府,TW0002752003,2019/09/25,上櫃,觀光事業,ESVUFR,,2752,豆府
2916　滿心,TW0002916004,2005/03/10,上櫃,貿易百貨業,ESVUFR,,2916,滿心
2924　東凌-KY,KYG198691092,2011/12/02,上櫃,貿易百貨業,ESVUFR,,2924,東凌-KY
2926　誠品生活,TW0002926003,2013/01/30,上櫃,文化創意業,ESVUFR,,2926,誠品生活
2928　紅馬-KY,KYG7448A1058,2016/01/27,上櫃,觀光事業,ESVUFR,,2928,紅馬-KY
2937　集雅社,TW0002937000,2017/06/08,上櫃,貿易百貨業,ESVUFR,,2937,集雅社
3064　泰偉,TW0003064002,2004/06/09,上櫃,文化創意業,ESVUFR,,3064,泰偉
3066　李洲,TW0003066007,2004/12/02,上櫃,光電業,ESVUFR,,3066,李洲
3067　全域,TW0003067005,2003/10/21,上櫃,其他電子業,ESVUFR,,3067,全域
3071　協禧,TW0003071007,2004/12/30,上櫃,電腦及週邊設備業,ESVUFR,,3071,協禧
3073　凱柏實業,TW0003073003,2007/10/08,上櫃,半導體業,ESVUFR,,3073,凱柏實業
3078　僑威,TW0003078002,2005/01/31,上櫃,電子零組件業,ESVUFR,,3078,僑威
3081　聯亞,TW0003081006,2015/07/22,上櫃,通信網路業,ESVUFR,,3081,聯亞
3083　網龍,TW0003083002,2003/12/02,上櫃,文化創意業,ESVUFR,,3083,網龍
3085　新零售,TW0003085007,2004/03/01,上櫃,電子商務,ESVUFR,,3085,新零售
3086　華義,TW0003086005,2004/03/29,上櫃,文化創意業,ESVUFR,,3086,華義
3088　艾訊,TW0003088001,2005/04/28,上櫃,電腦及週邊設備業,ESVUFR,,3088,艾訊
3089　元炬,TW0003089009,2003/10/14,上櫃,電子零組件業,ESVUFR,,3089,元炬
3092　鴻碩,TW0003092003,2010/05/11,上櫃,電子零組件業,ESVUFR,,3092,鴻碩
3093　港建,TW0003093001,2005/06/17,上櫃,其他電子業,ESVUFR,,3093,港建
3095　及成,TW0003095006,2005/05/26,上櫃,通信網路業,ESVUFR,,3095,及成
3105　穩懋,TW0003105003,2011/12/13,上櫃,半導體業,ESVUFR,,3105,穩懋
3114　好德,TW0003114005,2004/03/25,上櫃,電子零組件業,ESVUFR,,3114,好德
3115　寶島極,TW0003115002,2005/04/08,上櫃,電子零組件業,ESVUFR,,3115,寶島極
3118　進階,TW0003118006,2008/05/21,上櫃,生技醫療業,ESVUFR,,3118,進階
3122　笙泉,TW0003122008,2015/01/26,上櫃,半導體業,ESVUFR,,3122,笙泉
3128　昇銳,TW0003128005,2006/09/04,上櫃,光電業,ESVUFR,,3128,昇銳
3131　弘塑,TW0003131009,2011/01/17,上櫃,其他電子業,ESVUFR,,3131,弘塑
3141　晶宏,TW0003141008,2014/03/14,上櫃,半導體業,ESVUFR,,3141,晶宏
3144　新揚科,TW0003144002,2004/12/24,上櫃,電子零組件業,ESVUFR,,3144,新揚科
3147　大綜,TW0003147005,2018/05/29,上櫃,資訊服務業,ESVUFR,,3147,大綜
3152　璟德,TW0003152005,2008/03/24,上櫃,通信網路業,ESVUFR,,3152,璟德
3162　精確,TW0003162004,2005/10/03,上櫃,電機機械,ESVUFR,,3162,精確
3163　波若威,TW0003163002,2012/12/03,上櫃,通信網路業,ESVUFR,,3163,波若威
3169　亞信,TW0003169009,2009/11/24,上櫃,半導體業,ESVUFR,,3169,亞信
3171　新洲,TW0003171005,2004/09/17,上櫃,貿易百貨業,ESVUFR,,3171,新洲
3176　基亞,TW0003176004,2011/11/23,上櫃,生技醫療業,ESVUFR,,3176,基亞
3178　公準,TW0003178000,2018/11/19,上櫃,電機機械,ESVUFR,,3178,公準
3188　鑫龍騰,TW0003188009,2004/03/17,上櫃,建材營造業,ESVUFR,,3188,鑫龍騰
3191　和進,TW0003191003,2005/04/12,上櫃,電子零組件業,ESVUFR,,3191,和進
3202　樺晟,TW0003202008,2005/07/26,上櫃,電子零組件業,ESVUFR,,3202,樺晟
3205　佰研,TW0003205001,2005/09/12,上櫃,生技醫療業,ESVUFR,,3205,佰研
3206　志豐,TW0003206009,2007/02/08,上櫃,電子零組件業,ESVUFR,,3206,志豐
3207　耀勝,TW0003207007,2004/11/04,上櫃,電子零組件業,ESVUFR,,3207,耀勝
3211　順達,TW0003211009,2004/11/08,上櫃,電腦及週邊設備業,ESVUFR,,3211,順達
3213　茂訊,TW0003213005,2004/10/01,上櫃,電腦及週邊設備業,ESVUFR,,3213,茂訊
3217　優群,TW0003217006,2004/04/30,上櫃,電子零組件業,ESVUFR,,3217,優群
3218　大學光,TW0003218004,2004/11/29,上櫃,生技醫療業,ESVUFR,,3218,大學光
3219　倚強股份,TW0003219002,2004/03/19,上櫃,半導體業,ESVUFR,,3219,倚強股份
3221　台嘉碩,TW0003221008,2006/02/22,上櫃,通信網路業,ESVUFR,,3221,台嘉碩
3224　三顧,TW0003224002,2004/06/03,上櫃,電子通路業,ESVUFR,,3224,三顧
3226　至寶電,TW0003226007,2004/06/16,上櫃,電機機械,ESVUFR,,3226,至寶電
3227　原相,TW0003227005,2006/05/04,上櫃,半導體業,ESVUFR,,3227,原相
3228　金麗科,TW0003228003,2005/03/02,上櫃,半導體業,ESVUFR,,3228,金麗科
3230　錦明,TW0003230009,2006/09/25,上櫃,光電業,ESVUFR,,3230,錦明
3232　昱捷,TW0003232005,2004/11/01,上櫃,電子通路業,ESVUFR,,3232,昱捷
3234　光環,TW0003234001,2011/03/24,上櫃,通信網路業,ESVUFR,,3234,光環
3236　千如,TW0003236006,2004/12/02,上櫃,電子零組件業,ESVUFR,,3236,千如
3252　海灣,TW0003252003,2004/09/23,上櫃,觀光事業,ESVUFR,,3252,海灣
3259　鑫創,TW0003259008,2007/12/24,上櫃,半導體業,ESVUFR,,3259,鑫創
3260　威剛,TW0003260006,2004/10/08,上櫃,半導體業,ESVUFR,,3260,威剛
3264　欣銓,TW0003264008,2005/01/05,上櫃,半導體業,ESVUFR,,3264,欣銓
3265　台星科,TW0003265005,2005/08/02,上櫃,半導體業,ESVUFR,,3265,台星科
3268　海德威,TW0003268009,2005/01/27,上櫃,半導體業,ESVUFR,,3268,海德威
3272　東碩,TW0003272001,2014/08/26,上櫃,電腦及週邊設備業,ESVUFR,,3272,東碩
3276　宇環,TW0003276002,2005/01/12,上櫃,電子零組件業,ESVUFR,,3276,宇環
3284　太普高,TW0003284006,2005/03/22,上櫃,其他業,ESVUFR,,3284,太普高
3285　微端,TW0003285003,2012/07/23,上櫃,其他電子業,ESVUFR,,3285,微端
3287　廣寰科,TW0003287009,2008/01/28,上櫃,電腦及週邊設備業,ESVUFR,,3287,廣寰科
3288　點晶,TW0003288007,2005/04/15,上櫃,電子零組件業,ESVUFR,,3288,點晶
3289　宜特,TW0003289005,2004/12/28,上櫃,其他電子業,ESVUFR,,3289,宜特
3290　東浦,TW0003290003,2005/05/19,上櫃,電子零組件業,ESVUFR,,3290,東浦
3293　鈊象,TW0003293007,2006/07/12,上櫃,文化創意業,ESVUFR,,3293,鈊象
3294　英濟,TW0003294005,2007/04/27,上櫃,電子零組件業,ESVUFR,,3294,英濟
3297　杭特,TW0003297008,2005/06/07,上櫃,光電業,ESVUFR,,3297,杭特
3303　岱稜,TW0003303004,2007/05/28,上櫃,其他電子業,ESVUFR,,3303,岱稜
3306　鼎天,TW0003306007,2005/07/05,上櫃,通信網路業,ESVUFR,,3306,鼎天
3310　佳穎,TW0003310009,2008/06/27,上櫃,電子零組件業,ESVUFR,,3310,佳穎
3313　斐成,TW0003313003,2006/05/29,上櫃,電子零組件業,ESVUFR,,3313,斐成
3317　尼克森,TW0003317004,2007/08/09,上櫃,半導體業,ESVUFR,,3317,尼克森
3322　建舜電,TW0003322004,2009/05/20,上櫃,電子零組件業,ESVUFR,,3322,建舜電
3323　加百裕,TW0003323002,2007/06/25,上櫃,電腦及週邊設備業,ESVUFR,,3323,加百裕
3324　雙鴻,TW0003324000,2005/05/13,上櫃,其他電子業,ESVUFR,,3324,雙鴻
3325　旭品,TW0003325007,2005/08/15,上櫃,電腦及週邊設備業,ESVUFR,,3325,旭品
3332　幸康,TW0003332003,2008/01/24,上櫃,電子零組件業,ESVUFR,,3332,幸康
3339　泰谷,TW0003339008,2006/06/27,上櫃,光電業,ESVUFR,,3339,泰谷
3354　律勝,TW0003354007,2005/12/08,上櫃,電子零組件業,ESVUFR,,3354,律勝
3360　尚立,TW0003360004,2006/06/06,上櫃,電子通路業,ESVUFR,,3360,尚立
3362　先進光,TW0003362000,2005/09/06,上櫃,光電業,ESVUFR,,3362,先進光
3363　上詮,TW0003363008,2011/02/25,上櫃,通信網路業,ESVUFR,,3363,上詮
3372　典範,TW0003372009,2005/12/16,上櫃,半導體業,ESVUFR,,3372,典範
3373　熱映,TW0003373007,2007/12/13,上櫃,其他電子業,ESVUFR,,3373,熱映
3374　精材,TW0003374005,2015/03/30,上櫃,半導體業,ESVUFR,,3374,精材
3379　彬台,TW0003379004,2011/10/20,上櫃,電機機械,ESVUFR,,3379,彬台
3388　崇越電,TW0003388005,2006/02/22,上櫃,電子零組件業,ESVUFR,,3388,崇越電
3390　旭軟,TW0003390001,2006/02/22,上櫃,電子零組件業,ESVUFR,,3390,旭軟
3402　漢科,TW0003402004,2007/01/09,上櫃,其他電子業,ESVUFR,,3402,漢科
3426　台興,TW0003426003,2016/12/21,上櫃,電機機械,ESVUFR,,3426,台興
3434　哲固,TW0003434007,2008/01/28,上櫃,光電業,ESVUFR,,3434,哲固
3438　類比科,TW0003438008,2006/07/19,上櫃,半導體業,ESVUFR,,3438,類比科
3441　聯一光,TW0003441002,2010/10/04,上櫃,光電業,ESVUFR,,3441,聯一光
3444　利機,TW0003444006,2008/09/26,上櫃,電子通路業,ESVUFR,,3444,利機
3455　由田,TW0003455002,2007/12/27,上櫃,光電業,ESVUFR,,3455,由田
3465　進泰電子,TW0003465001,2008/01/28,上櫃,電子零組件業,ESVUFR,,3465,進泰電子
3466　致振,TW0003466009,2006/05/17,上櫃,通信網路業,ESVUFR,,3466,致振
3479　安勤,TW0003479002,2010/06/08,上櫃,電腦及週邊設備業,ESVUFR,,3479,安勤
3483　力致,TW0003483004,2006/12/18,上櫃,電腦及週邊設備業,ESVUFR,,3483,力致
3484　崧騰,TW0003484002,2007/11/09,上櫃,電子零組件業,ESVUFR,,3484,崧騰
3489　森寶,TW0003489001,2007/09/29,上櫃,建材營造業,ESVUFR,,3489,森寶
3490　單井,TW0003490009,2007/10/15,上櫃,光電業,ESVUFR,,3490,單井
3491　昇達科,TW0003491007,2008/01/03,上櫃,通信網路業,ESVUFR,,3491,昇達科
3492　長盛,TW0003492005,2015/05/18,上櫃,電子零組件業,ESVUFR,,3492,長盛
3498　陽程,TW0003498002,2007/09/11,上櫃,其他電子業,ESVUFR,,3498,陽程
3499　環天科,TW0003499000,2006/10/19,上櫃,通信網路業,ESVUFR,,3499,環天科
3508　位速,TW0003508008,2007/10/17,上櫃,其他電子業,ESVUFR,,3508,位速
3511　矽瑪,TW0003511002,2009/02/16,上櫃,電子零組件業,ESVUFR,,3511,矽瑪
3512　皇龍,TW0003512000,2007/07/25,上櫃,電子零組件業,ESVUFR,,3512,皇龍
3516　亞帝歐,TW0003516001,2007/11/29,上櫃,光電業,ESVUFR,,3516,亞帝歐
3520　振維,TW0003520003,2007/10/12,上櫃,電子零組件業,ESVUFR,,3520,振維
3521　鴻翊,TW0003521001,2007/08/07,上櫃,電腦及週邊設備業,ESVUFR,,3521,鴻翊
3522　御頂,TW0003522009,2007/10/15,上櫃,觀光事業,ESVUFR,,3522,御頂
3523　迎輝,TW0003523007,2007/11/16,上櫃,光電業,ESVUFR,,3523,迎輝
3526　凡甲,TW0003526000,2007/11/02,上櫃,電子零組件業,ESVUFR,,3526,凡甲
3527　聚積,TW0003527008,2007/10/29,上櫃,半導體業,ESVUFR,,3527,聚積
3529　力旺,TW0003529004,2011/01/24,上櫃,半導體業,ESVUFR,,3529,力旺
3531　先益,TW0003531000,2008/04/08,上櫃,光電業,ESVUFR,,3531,先益
3537　堡達,TW0003537007,2010/01/25,上櫃,電子零組件業,ESVUFR,,3537,堡達
3540　曜越,TW0003540001,2007/12/12,上櫃,電腦及週邊設備業,ESVUFR,,3540,曜越
3541　西柏,TW0003541009,2009/12/22,上櫃,其他電子業,ESVUFR,,3541,西柏
3546　宇峻,TW0003546008,2008/04/18,上櫃,文化創意業,ESVUFR,,3546,宇峻
3548　兆利,TW0003548004,2008/03/27,上櫃,電子零組件業,ESVUFR,,3548,兆利
3551　世禾,TW0003551008,2008/04/15,上櫃,其他電子業,ESVUFR,,3551,世禾
3552　同致,TW0003552006,2009/01/07,上櫃,其他電子業,ESVUFR,,3552,同致
3555　重鵬,TW0003555009,2011/11/08,上櫃,半導體業,ESVUFR,,3555,重鵬
3556　禾瑞亞,TW0003556007,2008/04/15,上櫃,半導體業,ESVUFR,,3556,禾瑞亞
3558　神準,TW0003558003,2013/12/30,上櫃,通信網路業,ESVUFR,,3558,神準
3564　其陽,TW0003564001,2013/12/03,上櫃,通信網路業,ESVUFR,,3564,其陽
3567　逸昌,TW0003567004,2010/11/22,上櫃,半導體業,ESVUFR,,3567,逸昌
3570　大塚,TW0003570008,2008/10/23,上櫃,資訊服務業,ESVUFR,,3570,大塚
3577　泓格,TW0003577003,2009/01/06,上櫃,電腦及週邊設備業,ESVUFR,,3577,泓格
3580　友威科,TW0003580007,2010/07/09,上櫃,其他電子業,ESVUFR,,3580,友威科
3581　博磊,TW0003581005,2015/01/20,上櫃,半導體業,ESVUFR,,3581,博磊
3587　閎康,TW0003587002,2009/08/18,上櫃,其他電子業,ESVUFR,,3587,閎康
3594　磐儀,TW0003594008,2013/05/07,上櫃,電腦及週邊設備業,ESVUFR,,3594,磐儀
3597　映興,TW0003597001,2020/03/09,上櫃,電子零組件業,ESVUFR,,3597,映興
3609　東林,TW0003609004,2011/01/11,上櫃,電子零組件業,ESVUFR,,3609,東林
3611　鼎翰,TW0003611000,2008/11/26,上櫃,電腦及週邊設備業,ESVUFR,,3611,鼎翰
3615　安可,TW0003615001,2009/04/15,上櫃,光電業,ESVUFR,,3615,安可
3623　富晶通,TW0003623005,2010/04/28,上櫃,光電業,ESVUFR,,3623,富晶通
3624　光頡,TW0003624003,2011/03/16,上櫃,電子零組件業,ESVUFR,,3624,光頡
3625　西勝,TW0003625000,2009/10/28,上櫃,電腦及週邊設備業,ESVUFR,,3625,西勝
3628　盈正,TW0003628004,2010/09/09,上櫃,其他電子業,ESVUFR,,3628,盈正
3629　地心引力,TW0003629002,2010/05/27,上櫃,光電業,ESVUFR,,3629,地心引力
3630　新鉅科,TW0003630000,2010/04/26,上櫃,光電業,ESVUFR,,3630,新鉅科
3631　晟楠,TW0003631008,2010/12/20,上櫃,電子零組件業,ESVUFR,,3631,晟楠
3632　研勤,TW0003632006,2011/01/11,上櫃,通信網路業,ESVUFR,,3632,研勤
3642　駿熠電,TW0003642005,2011/09/29,上櫃,其他電子業,ESVUFR,,3642,駿熠電
3646　艾恩特,TW0003646006,2012/03/27,上櫃,電子零組件業,ESVUFR,,3646,艾恩特
3652　精聯,TW0003652004,2009/08/27,上櫃,電腦及週邊設備業,ESVUFR,,3652,精聯
3663　鑫科,TW0003663001,2012/11/20,上櫃,其他電子業,ESVUFR,,3663,鑫科
3664　安瑞-KY,KYG0550W1069,2010/06/24,上櫃,通信網路業,ESVUFR,,3664,安瑞-KY
3666　光耀,TW0003666004,2014/12/04,上櫃,光電業,ESVUFR,,3666,光耀
3672　康聯訊,TW0003672002,2015/04/20,上櫃,通信網路業,ESVUFR,,3672,康聯訊
3675　德微,TW0003675005,2012/06/29,上櫃,半導體業,ESVUFR,,3675,德微
3680　家登,TW0003680005,2011/08/31,上櫃,半導體業,ESVUFR,,3680,家登
3684　榮昌,TW0003684007,2014/03/28,上櫃,通信網路業,ESVUFR,,3684,榮昌
3685　元創精密,TW0003685004,2010/12/08,上櫃,光電業,ESVUFR,,3685,元創精密
3687　歐買尬,TW0003687000,2011/01/11,上櫃,文化創意業,ESVUFR,,3687,歐買尬
3689　湧德,TW0003689006,2012/10/18,上櫃,電子零組件業,ESVUFR,,3689,湧德
3691　碩禾,TW0003691002,2010/11/18,上櫃,光電業,ESVUFR,,3691,碩禾
