有價證券代號及名稱,國際證券辨識號碼(ISIN Code),上市日,市場別,產業別,CFICode,代號,公司名稱
6815　晶鑽生醫,TW0006815004,2021/01/29,興櫃,生技醫療業,ESVUFR,6815,晶鑽生醫
6816　捷智商訊,TW0006816002,2021/01/18,興櫃,資訊服務業,ESVUFR,6816,捷智商訊
6817　溫士頓,TW0006817000,2021/02/24,興櫃,生技醫療業,ESVUFR,6817,溫士頓
6818　連騰,TW0006818008,2021/01/21,興櫃,通信網路業,ESVUFR,6818,連騰
6819　眾智,TW0006819006,2021/02/05,興櫃,半導體業,ESVUFR,6819,眾智
6820　連訊,TW0006820004,2021/03/22,興櫃,通信網路業,ESVUFR,6820,連訊
6825　和暢科技,TW0006825003,2021/04/29,興櫃,電腦及週邊設備業,ESVUFR,6825,和暢科技
6826　和淞,TW0006826001,2021/06/17,興櫃,其他電子業,ESVUFR,6826,和淞
6827　巨生醫,TW0006827009,2021/10/19,興櫃,生技醫療業,ESVUFR,6827,巨生醫
6831　邁科,TW0006831001,2021/08/11,興櫃,電腦及週邊設備業,ESVUFR,6831,邁科
6832　金鼎科,TW0006832009,2021/09/29,興櫃,其他業,ESVUFR,6832,金鼎科
6833　太康精密,TW0006833007,2021/06/01,興櫃,電子零組件業,ESVUFR,6833,太康精密
6838　台新藥,TW0006838006,2021/10/07,興櫃,生技醫療業,ESVUFR,6838,台新藥
6839　開陽能源,TW0006839004,2021/10/25,興櫃,綠能環保,ESVUFR,6839,開陽能源
6842　一元素,TW0006842008,2021/09/30,興櫃,半導體業,ESVUFR,6842,一元素
6847　普瑞博,TW0006847007,2021/11/05,興櫃,生技醫療業,ESVUFR,6847,普瑞博
6848　拉法醫,TW0006848005,2021/10/25,興櫃,生技醫療業,ESVUFR,6848,拉法醫
6850　光鼎生技,TW0006850001,2021/11/10,興櫃,生技醫療業,ESVUFR,6850,光鼎生技
6857　宏碁智醫,TW0006857006,2022/03/03,興櫃,生技醫療業,ESVUFR,6857,宏碁智醫
6858　愛比科技,TW0006858004,2022/01/11,興櫃,電腦及週邊設備業,ESVUFR,6858,愛比科技
6864　元樟生技,TW0006864002,2021/12/29,興櫃,生技醫療業,ESVUFR,6864,元樟生技
6867　坦德科技,TW0006867005,2022/06/23,興櫃,光電業,ESVUFR,6867,坦德科技
6868　采威國際,TW0006868003,2022/01/13,興櫃,資訊服務業,ESVUFR,6868,采威國際
6872　浩宇生醫,TW0006872005,2022/06/22,興櫃,生技醫療業,ESVUFR,6872,浩宇生醫
6876　朗齊生醫*,TW0006876006,2024/01/18,興櫃,生技醫療業,ESVUFR,6876,朗齊生醫*
6878　歐付寶,TW0006878002,2022/03/17,興櫃,金融保險業,ESVUFR,6878,歐付寶
6879　大江基因,TW0006879000,2022/05/25,興櫃,生技醫療業,ESVUFR,6879,大江基因
6881　潤德,TW0006881006,2022/07/25,興櫃,其他業,ESVUFR,6881,潤德
6882　甲尚,TW0006882004,2022/04/26,興櫃,資訊服務業,ESVUFR,6882,甲尚
6884　海柏特,TW0006884000,2022/06/13,興櫃,資訊服務業,ESVUFR,6884,海柏特
6885　全福生技,TW0006885007,2022/06/23,興櫃,生技醫療業,ESVUFR,6885,全福生技
6886　遠東生技,TW0006886005,2023/04/27,興櫃,食品工業,ESVUFR,6886,遠東生技
6891　樂迦再生,TW0006891005,2022/07/12,興櫃,生技醫療業,ESVUFR,6891,樂迦再生
6892　台寶生醫,TW0006892003,2022/09/07,興櫃,生技醫療業,ESVUFR,6892,台寶生醫
6898　程曦資訊,TW0006898000,2022/09/30,興櫃,資訊服務業,ESVUFR,6898,程曦資訊
6903　巨漢,TW0006903008,2022/07/19,興櫃,其他電子業,ESVUFR,6903,巨漢
6908　宏碁遊戲,TW0006908007,2022/09/13,興櫃,電子通路業,ESVUFR,6908,宏碁遊戲
6909　創控,TW0006909005,2023/03/30,興櫃,半導體業,ESVUFR,6909,創控
6910　德鴻,TW0006910003,2023/05/19,興櫃,數位雲端,ESVUFR,6910,德鴻
6911　群運,TW0006911001,2022/10/20,興櫃,其他業,ESVUFR,6911,群運
6912　益鈞環科*,TW0006912009,2022/10/19,興櫃,綠能環保,ESVUFR,6912,益鈞環科*
6913　鴻呈,TW0006913007,2022/12/26,興櫃,電子零組件業,ESVUFR,6913,鴻呈
6914　阜爾運通,TW0006914005,2023/01/06,興櫃,其他業,ESVUFR,6914,阜爾運通
6915　美強光,TW0006915002,2022/11/03,興櫃,電子零組件業,ESVUFR,6915,美強光
6917　竟天,TW0006917008,2023/01/12,興櫃,生技醫療業,ESVUFR,6917,竟天
6918　愛派司,TW0006918006,2023/01/06,興櫃,生技醫療業,ESVUFR,6918,愛派司
6919　康霈*,TW0006919004,2022/12/26,興櫃,生技醫療業,ESVUFR,6919,康霈*
6920　恆勁科技,TW0006920002,2023/01/10,興櫃,半導體業,ESVUFR,6920,恆勁科技
6923　中台,TW0006923006,2023/03/30,興櫃,綠能環保,ESVUFR,6923,中台
6925　意藍,TW0006925001,2022/12/26,興櫃,數位雲端,ESVUFR,6925,意藍
6926　聖安生醫,TW0006926009,2022/11/25,興櫃,生技醫療業,ESVUFR,6926,聖安生醫
6927　聯合聚晶,TW0006927007,2023/05/26,興櫃,半導體業,ESVUFR,6927,聯合聚晶
6928　攸泰科技,TW0006928005,2023/05/03,興櫃,電腦及週邊設備業,ESVUFR,6928,攸泰科技
6931　青松健康,TW0006931009,2022/12/27,興櫃,生技醫療業,ESVUFR,6931,青松健康
6932　水星生醫*,TW0006932007,2022/12/23,興櫃,生技醫療業,ESVUFR,6932,水星生醫*
6935　王子製藥,TW0006935000,2023/03/29,興櫃,食品工業,ESVUFR,6935,王子製藥
6936　永鴻生技,TW0006936008,2023/03/24,興櫃,農業科技業,ESVUFR,6936,永鴻生技
6938　藍新資訊,TW0006938004,2024/01/23,興櫃,資訊服務業,ESVUFR,6938,藍新資訊
6939　啟弘生技,TW0006939002,2023/05/15,興櫃,生技醫療業,ESVUFR,6939,啟弘生技
6940　格斯科技*,TW0006940000,2023/05/12,興櫃,電子零組件業,ESVUFR,6940,格斯科技*
6944　兆聯實業,TW0006944002,2023/04/27,興櫃,綠能環保,ESVUFR,6944,兆聯實業
6945　圓祥生技,TW0006945009,2023/07/14,興櫃,生技醫療業,ESVUFR,6945,圓祥生技
6947　台鎔科技,TW0006947005,2023/07/21,興櫃,綠能環保,ESVUFR,6947,台鎔科技
6951　青新,TW0006951007,2023/05/24,興櫃,綠能環保,ESVUFR,6951,青新
6952　大武山,TW0006952005,2023/06/21,興櫃,農業科技業,ESVUFR,6952,大武山
6953　家碩,TW0006953003,2023/06/26,興櫃,半導體業,ESVUFR,6953,家碩
6955　邦睿生技,TW0006955008,2023/07/25,興櫃,生技醫療業,ESVUFR,6955,邦睿生技
6958　日盛台駿,TW0006958002,2023/06/27,興櫃,其他業,ESVUFR,6958,日盛台駿
6959　兆捷科技,TW0006959000,2023/07/13,興櫃,化學工業,ESVUFR,6959,兆捷科技
6961　旅天下,TW0006961006,2023/07/31,興櫃,觀光餐旅,ESVUFR,6961,旅天下
6963　品元,TW0006963002,2023/06/28,興櫃,食品工業,ESVUFR,6963,品元
6967　汎瑋材料,TW0006967003,2023/09/28,興櫃,電子零組件業,ESVUFR,6967,汎瑋材料
6968　萬達寵物,TW0006968001,2023/08/31,興櫃,居家生活,ESVUFR,6968,萬達寵物
6971　惠民實業,TW0006971005,2023/07/24,興櫃,綠能環保,ESVUFR,6971,惠民實業
6973　永立榮,TW0006973001,2023/07/20,興櫃,生技醫療業,ESVUFR,6973,永立榮
6976　育世博-KY,KYG0073G1091,2023/08/08,興櫃,生技醫療業,ESVUFR,6976,育世博-KY
6977　聯純,TW0006977002,2023/09/25,興櫃,綠能環保,ESVUFR,6977,聯純
6980　鐳洋科技,TW0006980006,2023/08/02,興櫃,通信網路業,ESVUFR,6980,鐳洋科技
6982　大井泵浦,TW0006982002,2023/09/28,興櫃,電機機械,ESVUFR,6982,大井泵浦
6983　華洋精機,TW0006983000,2023/11/09,興櫃,其他電子業,ESVUFR,6983,華洋精機
6984　交流資服,TW0006984008,2023/10/20,興櫃,數位雲端,ESVUFR,6984,交流資服
6986　和迅,TW0006986003,2023/11/29,興櫃,生技醫療業,ESVUFR,6986,和迅
6990　華鉬,TW0006990005,2023/11/16,興櫃,綠能環保,ESVUFR,6990,華鉬
6994　富威電力,TW0006994007,2023/12/21,興櫃,綠能環保,ESVUFR,6994,富威電力
6996　力領科技,TW0006996002,2023/12/20,興櫃,半導體業,ESVUFR,6996,力領科技
6997　博弘,TW0006997000,2024/01/09,興櫃,數位雲端,ESVUFR,6997,博弘
7419　達勝,TW0007419004,2019/09/25,興櫃,電子零組件業,ESVUFR,7419,達勝
7427　華上生醫,TW0007427007,2021/07/08,興櫃,生技醫療業,ESVUFR,7427,華上生醫
7443　凡事康,TW0007443004,2016/02/15,興櫃,其他業,ESVUFR,7443,凡事康
7507　環拓科技,TW0007507B10,2020/03/20,興櫃,綠能環保,ESVUFR,7507,環拓科技
7516　清淨海,TW0007516B19,2018/12/24,興櫃,其他業,ESVUFR,7516,清淨海
7530　鋒魁科技,TW0007530B11,2021/11/24,興櫃,半導體業,ESVUFR,7530,鋒魁科技
